day,event_type,events,total_price,unique_sessions,avg_price_per_event
2019-10-01 00:00:00+00:00,cart,16658,6123619.5,10175,367.60834
2019-10-01 00:00:00+00:00,purchase,19307,6275964.0,16260,325.06158
2019-10-01 00:00:00+00:00,view,1208280,358235650.0,270392,296.48398
2019-10-02 00:00:00+00:00,cart,17268,6272537.0,10572,363.2463
2019-10-02 00:00:00+00:00,purchase,19469,6213628.5,16429,319.155
2019-10-02 00:00:00+00:00,view,1154591,345087360.0,262785,298.88278
2019-10-03 00:00:00+00:00,cart,19323,7076894.5,11544,366.242
2019-10-03 00:00:00+00:00,purchase,19255,6233783.0,16170,323.74878
2019-10-03 00:00:00+00:00,view,1088725,326170620.0,242360,299.58954
2019-10-04 00:00:00+00:00,cart,43829,15607456.0,26726,356.09885
2019-10-04 00:00:00+00:00,purchase,27041,8623684.0,22970,318.91144
2019-10-04 00:00:00+00:00,view,1346320,399461700.0,302226,296.70636
2019-10-05 00:00:00+00:00,cart,35497,12407919.0,21182,349.54837
2019-10-05 00:00:00+00:00,purchase,23494,7341597.0,19680,312.48816
2019-10-05 00:00:00+00:00,view,1271348,375926980.0,279023,295.69165
2019-10-06 00:00:00+00:00,cart,32146,10832604.0,19102,336.98138
2019-10-06 00:00:00+00:00,purchase,22171,6737661.0,18849,303.89523
2019-10-06 00:00:00+00:00,view,1264062,379454800.0,274594,300.18686
2019-10-07 00:00:00+00:00,cart,18052,6069116.5,11018,336.20187
2019-10-07 00:00:00+00:00,purchase,21378,6348189.0,18085,296.94962
2019-10-07 00:00:00+00:00,view,1161101,343031740.0,264952,295.4366
2019-10-08 00:00:00+00:00,cart,18442,6225156.5,11461,337.55322
2019-10-08 00:00:00+00:00,purchase,23072,6819832.0,19615,295.5891
2019-10-08 00:00:00+00:00,view,1329119,367826720.0,311270,276.74475
2019-10-09 00:00:00+00:00,cart,18432,6361171.5,11288,345.11563
2019-10-09 00:00:00+00:00,purchase,22748,6855511.0,19329,301.36765
2019-10-09 00:00:00+00:00,view,1306363,366558660.0,302796,280.5948
2019-10-10 00:00:00+00:00,cart,18997,6539028.0,11651,344.2137
2019-10-10 00:00:00+00:00,purchase,21993,6665601.0,18669,303.0783
2019-10-10 00:00:00+00:00,view,1243087,358850300.0,296768,288.67673
2019-10-11 00:00:00+00:00,cart,21450,7035209.0,12925,327.98178
2019-10-11 00:00:00+00:00,purchase,26224,7716208.5,22232,294.24225
2019-10-11 00:00:00+00:00,view,1447669,407030400.0,336727,281.16263
2019-10-12 00:00:00+00:00,cart,20691,6295214.0,12422,304.2489
2019-10-12 00:00:00+00:00,purchase,25373,7307691.5,21628,288.01053
2019-10-12 00:00:00+00:00,view,1433832,403601280.0,306129,281.48434
2019-10-13 00:00:00+00:00,cart,24833,7839597.0,14977,315.69272
2019-10-13 00:00:00+00:00,purchase,29561,8457606.0,25255,286.1069
2019-10-13 00:00:00+00:00,view,1584677,441920700.0,337005,278.87115
2019-10-14 00:00:00+00:00,cart,44858,14657888.0,28228,326.76196
2019-10-14 00:00:00+00:00,purchase,28405,9356692.0,24182,329.40298
2019-10-14 00:00:00+00:00,view,1381439,409530750.0,309480,296.4523
2019-10-15 00:00:00+00:00,cart,49548,16498588.0,31171,332.9819
2019-10-15 00:00:00+00:00,purchase,26372,8653066.0,22438,328.11566
2019-10-15 00:00:00+00:00,view,1466305,431414720.0,337698,294.21896
2019-10-16 00:00:00+00:00,cart,45279,14146328.0,28669,312.4258
2019-10-16 00:00:00+00:00,purchase,31394,9747239.0,26545,310.48096
2019-10-16 00:00:00+00:00,view,1445717,419193060.0,330490,289.95514
2019-10-17 00:00:00+00:00,cart,40378,13068767.0,25521,323.66058
2019-10-17 00:00:00+00:00,purchase,28318,9026143.0,24090,318.74225
2019-10-17 00:00:00+00:00,view,1338311,388947140.0,305244,290.62537
2019-10-18 00:00:00+00:00,cart,40144,13292015.0,24682,331.1084
2019-10-18 00:00:00+00:00,purchase,25850,8155785.0,21701,315.50424
2019-10-18 00:00:00+00:00,view,1415805,404860830.0,336447,285.95804
2019-10-19 00:00:00+00:00,cart,39465,12988948.0,24633,329.12576
2019-10-19 00:00:00+00:00,purchase,24657,7562479.0,20917,306.70718
2019-10-19 00:00:00+00:00,view,1385171,398512900.0,324278,287.69943
2019-10-20 00:00:00+00:00,cart,40534,13314978.0,24954,328.4891
2019-10-20 00:00:00+00:00,purchase,25098,7515713.0,21294,299.45465
2019-10-20 00:00:00+00:00,view,1444360,415639940.0,341632,287.76755
2019-10-21 00:00:00+00:00,cart,36675,12288928.0,22883,335.07642
2019-10-21 00:00:00+00:00,purchase,25167,7862635.0,21444,312.41846
2019-10-21 00:00:00+00:00,view,1343574,381868000.0,324165,284.21805
2019-10-22 00:00:00+00:00,cart,36953,12229264.0,23086,330.94104
2019-10-22 00:00:00+00:00,purchase,25385,7914693.0,21300,311.78622
2019-10-22 00:00:00+00:00,view,1354534,386996400.0,318138,285.70447
2019-10-23 00:00:00+00:00,cart,36407,12098178.0,23173,332.30362
2019-10-23 00:00:00+00:00,purchase,24731,7615371.5,21002,307.92816
2019-10-23 00:00:00+00:00,view,1319988,376599740.0,312227,285.30542
2019-10-24 00:00:00+00:00,cart,35723,11736096.0,22136,328.53052
2019-10-24 00:00:00+00:00,purchase,23999,7470345.0,20315,311.27734
2019-10-24 00:00:00+00:00,view,1256779,364274780.0,295381,289.84793
2019-10-25 00:00:00+00:00,cart,36815,11905082.0,23175,323.37585
2019-10-25 00:00:00+00:00,purchase,23929,7248618.0,20328,302.9219
2019-10-25 00:00:00+00:00,view,1374584,392791600.0,319472,285.75308
2019-10-26 00:00:00+00:00,cart,34776,10976725.0,22136,315.6408
2019-10-26 00:00:00+00:00,purchase,22653,6917603.0,19382,305.3725
2019-10-26 00:00:00+00:00,view,1289839,372199740.0,291937,288.56296
2019-10-27 00:00:00+00:00,cart,34256,11042876.0,21420,322.36325
2019-10-27 00:00:00+00:00,purchase,23403,7198461.0,19877,307.5871
2019-10-27 00:00:00+00:00,view,1330894,388774460.0,291499,292.11526
2019-10-28 00:00:00+00:00,cart,17838,6155837.0,11111,345.0968
2019-10-28 00:00:00+00:00,purchase,21112,6591728.0,17941,312.2266
2019-10-28 00:00:00+00:00,view,1221930,351048500.0,282355,287.2902
2019-10-29 00:00:00+00:00,cart,17455,5932378.5,10773,339.867
2019-10-29 00:00:00+00:00,purchase,20374,6433438.5,17361,315.7671
2019-10-29 00:00:00+00:00,view,1190081,340680740.0,278019,286.26685
2019-10-30 00:00:00+00:00,cart,16996,6115846.5,10730,359.84033
2019-10-30 00:00:00+00:00,purchase,20817,6634069.5,17719,318.68518
2019-10-30 00:00:00+00:00,view,1172332,336832200.0,276571,287.31808
2019-10-31 00:00:00+00:00,cart,16798,6164583.5,10740,366.9832
2019-10-31 00:00:00+00:00,purchase,20099,6456466.0,17337,321.2332
2019-10-31 00:00:00+00:00,view,1208582,351301900.0,283047,290.6728
