day,cart,purchase,view,purchase_rate,sessions_total,total_price_total,avg_price_per_session
2019-10-01 00:00:00+00:00,16658,19307,1208280,0.015978912,296827,370635230.0,1248.6573
2019-10-02 00:00:00+00:00,17268,19469,1154591,0.016862249,289786,357573540.0,1233.9227
2019-10-03 00:00:00+00:00,19323,19255,1088725,0.017685825,270074,339481300.0,1256.9937
2019-10-04 00:00:00+00:00,43829,27041,1346320,0.02008512,351922,423692830.0,1203.9396
2019-10-05 00:00:00+00:00,35497,23494,1271348,0.018479599,319885,395676480.0,1236.9335
2019-10-06 00:00:00+00:00,32146,22171,1264062,0.017539488,312545,397025060.0,1270.2972
2019-10-07 00:00:00+00:00,18052,21378,1161101,0.018411836,294055,355449060.0,1208.7843
2019-10-08 00:00:00+00:00,18442,23072,1329119,0.017358867,342346,380871700.0,1112.5344
2019-10-09 00:00:00+00:00,18432,22748,1306363,0.01741323,333413,379775330.0,1139.0537
2019-10-10 00:00:00+00:00,18997,21993,1243087,0.017692246,327088,372054940.0,1137.4766
2019-10-11 00:00:00+00:00,21450,26224,1447669,0.018114638,371884,421781820.0,1134.1758
2019-10-12 00:00:00+00:00,20691,25373,1433832,0.017695937,340179,417204200.0,1226.4254
2019-10-13 00:00:00+00:00,24833,29561,1584677,0.018654274,377237,458217920.0,1214.6686
2019-10-14 00:00:00+00:00,44858,28405,1381439,0.020561893,361890,433545340.0,1198.003
2019-10-15 00:00:00+00:00,49548,26372,1466305,0.017985344,391307,456566370.0,1166.7728
2019-10-16 00:00:00+00:00,45279,31394,1445717,0.021715177,385704,443086620.0,1148.7737
2019-10-17 00:00:00+00:00,40378,28318,1338311,0.021159505,354855,411042050.0,1158.338
2019-10-18 00:00:00+00:00,40144,25850,1415805,0.018258164,382830,426308640.0,1113.5717
2019-10-19 00:00:00+00:00,39465,24657,1385171,0.01780069,369828,419064320.0,1133.133
2019-10-20 00:00:00+00:00,40534,25098,1444360,0.017376555,387880,436470620.0,1125.2723
2019-10-21 00:00:00+00:00,36675,25167,1343574,0.018731384,368492,402019550.0,1090.9858
2019-10-22 00:00:00+00:00,36953,25385,1354534,0.018740762,362524,407140380.0,1123.0715
2019-10-23 00:00:00+00:00,36407,24731,1319988,0.018735776,356402,396313280.0,1111.9839
2019-10-24 00:00:00+00:00,35723,23999,1256779,0.01909564,337832,383481200.0,1135.124
2019-10-25 00:00:00+00:00,36815,23929,1374584,0.017408175,362975,411945300.0,1134.9137
2019-10-26 00:00:00+00:00,34776,22653,1289839,0.017562658,333455,390094080.0,1169.8552
2019-10-27 00:00:00+00:00,34256,23403,1330894,0.01758442,332796,407015800.0,1223.0189
2019-10-28 00:00:00+00:00,17838,21112,1221930,0.017277585,311407,363796060.0,1168.2334
2019-10-29 00:00:00+00:00,17455,20374,1190081,0.017119844,306153,353046560.0,1153.1703
2019-10-30 00:00:00+00:00,16996,20817,1172332,0.017756915,305020,349582100.0,1146.0957
2019-10-31 00:00:00+00:00,16798,20099,1208582,0.016630232,311124,363922940.0,1169.7039
